ID,Area,Item,Year,Actual,Predicted
5260,Niger,Dairy Products and Eggs,2019,714.73,1309.398724419611
2034,Ecuador,Sugar and Honey,2013,51788.52,79139.61030398119
2906,Hungary,Meat and Meat Preparations,2014,1470994.48,1470308.071709498
2554,French Polynesia,Non-alcoholic Beverages,2023,4414.45,24254.456732851162
2188,El Salvador,Meat and Meat Preparations,2023,220503.0,124221.85018946821
5354,Norway,Sugar and Honey,2015,10958.86,7256.4088606816495
3303,Indonesia,Other food,2015,4719750.25,4721129.295142743
2838,Guinea,Non-alcoholic Beverages,2020,66016.0,385711.4925520526
7051,Togo,Fats and Oils (excluding Butter),2014,45085.09,22239.981086204807
2626,Georgia,Fruit and Vegetables,2017,151414.93,126137.48425320625
6917,Switzerland,Fruit and Vegetables,2016,104245.65,135190.6634249582
2572,Gabon,Dairy Products and Eggs,2013,80.0,51.73096014841576
1504,Croatia,Sugar and Honey,2024,62675.0,119683.21074244501
2800,Guatemala,Alcoholic Beverages,2014,1209084.0,813965.077752343
4096,Lesotho,Fats and Oils (excluding Butter),2020,26.12,24.71005930005246
3383,Iran (Islamic Republic of),Alcoholic Beverages,2018,15408.0,7093.903259327247
5202,Nicaragua,Alcoholic Beverages,2016,20053.42,25546.72975035212
849,Brazil,Fruit and Vegetables,2013,3524255.0,1113647.2640942216
6494,Slovakia,Dairy Products and Eggs,2013,407136.0,426543.17688044364
963,Cambodia,Sugar and Honey,2013,6324.0,7180.630464582411
2102,Egypt,Meat and Meat Preparations,2015,5048.5,3782.3536391481466
4644,Mongolia,Non-alcoholic Beverages,2013,27751.0,43063.723718744215
2266,Ethiopia,Cereals and Preparations,2020,0.0,27202.02570470018
7591,Venezuela (Bolivarian Republic of),Fats and Oils (excluding Butter),2014,5.03,135.88870145874793
1434,Côte d'Ivoire,Fruit and Vegetables,2021,9810.0,156475.89807162687
6452,Slovakia,Fats and Oils (excluding Butter),2019,42452.77,123674.61604528145
967,Cambodia,Dairy Products and Eggs,2013,1697.0,9509.073959959316
6451,Slovakia,Fats and Oils (excluding Butter),2018,44078.64,111944.68568404773
1874,Denmark,Alcoholic Beverages,2021,752498.52,496778.6003136298
2299,Ethiopia,Dairy Products and Eggs,2018,87.74,1422.383600436119
2755,Ghana,Non-alcoholic Beverages,2023,2396772.21,734836.1773224557
4912,Nepal,Non-alcoholic Beverages,2024,76883.1,157383.5732357796
918,Burundi,Meat and Meat Preparations,2014,0.01,841.7899261700195
175,Antigua and Barbuda,Sugar and Honey,2014,0.0,3.439176837610617
6535,Slovakia,Other food,2018,1148708.83,981996.1408716533
7619,Venezuela (Bolivarian Republic of),Dairy Products and Eggs,2018,8760.0,9087.712604529523
2763,Ghana,Other food,2019,2764313.26,2874080.491482452
2452,France,Fruit and Vegetables,2020,6165071.05,7147483.9439942865
6194,Samoa,Fruit and Vegetables,2023,0.33,2.60728357863537
1159,Chile,Non-alcoholic Beverages,2013,6977.0,43707.11653696393
1426,Côte d'Ivoire,Sugar and Honey,2014,12669.88,7237.191484183029
5700,Peru,Meat and Meat Preparations,2020,1965.83,6585.21996381544
2818,Guinea,Sugar and Honey,2014,155.87,102.1119631187996
6685,Sri Lanka,Fats and Oils (excluding Butter),2024,2882.7,12630.072902932316
638,Barbados,Dairy Products and Eggs,2014,3453.0,18983.674843051132
4990,New Caledonia,Meat and Meat Preparations,2013,472.23,114.75547737485184
6578,Slovenia,Sugar and Honey,2013,73144.0,79495.54499429776
5572,Pakistan,Alcoholic Beverages,2015,12071.0,554.7662063992634
623,Bangladesh,Other food,2021,73726.64,137237.67316291694
6054,Republic of Moldova,Alcoholic Beverages,2018,191873.78,198717.69660878644
1631,Cyprus,Dairy Products and Eggs,2024,12513.0,21754.2846445244
1341,Colombia,Dairy Products and Eggs,2018,10571.96,26096.171167072232
1479,Croatia,Fats and Oils (excluding Butter),2021,129703.43,185921.9957199811
2368,Finland,Fruit and Vegetables,2014,70491.56,75553.36566754714
6655,South Africa,Meat and Meat Preparations,2014,2682480.0,373162.1295763608
5493,Oman,Non-alcoholic Beverages,2020,82123.0,62815.191995718225
4599,Mexico,Alcoholic Beverages,2018,6221153.02,5500162.793810683
3612,Italy,Fats and Oils (excluding Butter),2023,3055527.0,2839602.123058355
5341,Norway,Meat and Meat Preparations,2014,37424.57,40517.592432479214
10,Albania,Cereals and Preparations,2023,2723.0,6135.216712145548
2128,Egypt,Dairy Products and Eggs,2014,407987.71,253461.71413854905
324,Armenia,Dairy Products and Eggs,2021,100364.0,19487.927400009212
1475,Croatia,Fats and Oils (excluding Butter),2017,71204.77,53537.59613211204
2510,French Polynesia,Cereals and Preparations,2022,7703.0,2557.4930797903003
6662,South Africa,Alcoholic Beverages,2013,53198.0,545639.1105167037
2650,Georgia,Non-alcoholic Beverages,2020,148229.25,111764.92875500447
3646,Italy,Dairy Products and Eggs,2015,3476692.51,2786864.85210819
524,Bangladesh,Cereals and Preparations,2018,56559.07,113897.7664109617
3553,Ireland,Other food,2020,1266015.31,1688988.8856951115
1801,Denmark,Cereals and Preparations,2020,1813032.75,2148410.864820642
6092,Romania,Fruit and Vegetables,2014,32235.0,112404.55138329827
5895,Republic of Korea,Fats and Oils (excluding Butter),2020,66452.2,80861.4256263835
3454,Ireland,Cereals and Preparations,2017,2738817.05,2509677.9351956164
4176,Libya,Other food,2016,782.0,2985.2875034049957
445,Austria,Sugar and Honey,2014,264519.91,383787.30926331383
3350,Iran (Islamic Republic of),Sugar and Honey,2017,202151.43,268926.57618543005
3225,Indonesia,Fats and Oils (excluding Butter),2021,32036337.1,6116908.709922862
639,Barbados,Alcoholic Beverages,2013,2145.0,19983.262333213494
192,Argentina,Cereals and Preparations,2019,9716915.3,7907755.265604761
2669,Ghana,Cereals and Preparations,2021,45203.4,232189.5302707728
5070,New Zealand,Sugar and Honey,2016,325518.95,255397.38562432
1496,Croatia,Sugar and Honey,2016,180978.16,102635.06546558486
5258,Niger,Dairy Products and Eggs,2013,2631.17,8230.210143069115
4173,Libya,Non-alcoholic Beverages,2019,468.0,1664.7621700235309
6583,Slovenia,Sugar and Honey,2018,36083.49,56571.01173713266
3823,Kenya,Sugar and Honey,2023,384844.0,547654.7138686879
5519,Pakistan,Fats and Oils (excluding Butter),2017,42912.4,56236.02969654135
693,Benin,Alcoholic Beverages,2013,163.0,302.8341987471661
218,Argentina,Meat and Meat Preparations,2023,505780.0,551182.8845532293
1731,Czechia,Dairy Products and Eggs,2016,715475.79,869626.5206437877
3956,Latvia,Meat and Meat Preparations,2018,129458.23,97725.1517550821
6202,Samoa,Alcoholic Beverages,2014,2739.36,4622.575739274129
2432,France,Meat and Meat Preparations,2024,2163706.0,2670085.427158948
2968,Hungary,Non-alcoholic Beverages,2016,177108.98,193691.92674004013
3265,Indonesia,Dairy Products and Eggs,2013,67897.0,151456.19346656764
6672,Sri Lanka,Cereals and Preparations,2020,74394.75,117245.51183872743
5434,Oman,Fats and Oils (excluding Butter),2014,209562.04,436158.09009480523
379,Australia,Sugar and Honey,2020,2165893.0,2235433.1162149976
7704,Zambia,Dairy Products and Eggs,2018,14157.02,8909.391527876138
2292,Ethiopia,Fruit and Vegetables,2018,292400.8,287508.32452911773
5365,Norway,Fruit and Vegetables,2014,25535.49,49286.06328187179
6526,Slovakia,Non-alcoholic Beverages,2021,150686.54,93425.62109832508
7496,United States of America,Other food,2018,32515750.42,31995349.96159615
5511,Pakistan,Cereals and Preparations,2020,2202919.91,1030047.7691470811
2457,France,Dairy Products and Eggs,2013,8169722.0,8388092.268857835
2896,Hungary,Fats and Oils (excluding Butter),2016,515375.19,792034.3034442419
7481,United States of America,Non-alcoholic Beverages,2015,1491445.09,1333763.0967128458
6676,Sri Lanka,Cereals and Preparations,2024,124628.25,25514.67197162614
6247,Saudi Arabia,Meat and Meat Preparations,2023,354671.0,942120.136278503
5822,Philippines,Alcoholic Beverages,2016,14827.25,9105.58579519768
3388,Iran (Islamic Republic of),Non-alcoholic Beverages,2015,25743.63,25585.025543143776
2973,Hungary,Non-alcoholic Beverages,2021,282239.09,378574.67962294194
3936,Latvia,Cereals and Preparations,2022,24634.0,60301.75237489323
2453,France,Fruit and Vegetables,2021,6433835.87,7938470.862153865
4595,Mexico,Alcoholic Beverages,2014,3735213.27,3994200.0426794253
3025,Iceland,Sugar and Honey,2013,637.0,2261.072515011596
2017,Ecuador,Cereals and Preparations,2022,273876.29,193487.14078623938
3398,Iran (Islamic Republic of),Other food,2015,408247.93,750114.1740037051
444,Austria,Sugar and Honey,2013,274037.03,367828.24449954205
4755,Myanmar,Fats and Oils (excluding Butter),2020,1297.66,3285.8329554097118
5955,Republic of Korea,Alcoholic Beverages,2020,274905.9,429421.80478983076
6844,Sweden,Non-alcoholic Beverages,2013,96022.0,144781.22920693777
6073,Republic of Moldova,Other food,2014,202112.46,300276.4421437555
4653,Montenegro,Meat and Meat Preparations,2014,10761.0,12163.327170758503
2514,French Polynesia,Fats and Oils (excluding Butter),2019,4651.1,2086.060239828163
1673,Czechia,Cereals and Preparations,2018,1390784.33,1468160.0794293038
3893,Kyrgyzstan,Sugar and Honey,2018,13387.79,30737.819775407253
137,Algeria,Non-alcoholic Beverages,2013,33742.0,11473.916888074633
398,Australia,Alcoholic Beverages,2015,1797352.14,1875410.4121141224
1481,Croatia,Fats and Oils (excluding Butter),2023,93056.0,179972.316502043
4710,Morocco,Alcoholic Beverages,2015,12620.33,11547.669542267691
1254,"China, Taiwan Province of",Dairy Products and Eggs,2016,18547.37,19146.054103873255
6371,Senegal,Alcoholic Beverages,2019,1214.9,2708.6932067692724
4545,Mexico,Fats and Oils (excluding Butter),2024,1276759.0,2275960.8056207816
2849,Guyana,Meat and Meat Preparations,2013,175924.0,2143.8908153443263
3211,Indonesia,Cereals and Preparations,2019,824280.11,1027440.9781886298
7535,Uruguay,Sugar and Honey,2018,14222.49,92597.0446258054
409,Australia,Non-alcoholic Beverages,2018,2203541.0,313625.8575945154
6473,Slovakia,Sugar and Honey,2016,220087.9,294833.59799247136
1593,Cyprus,Meat and Meat Preparations,2022,659.0,2146.682312980841
5480,Oman,Alcoholic Beverages,2015,209.16,98.70630359392308
7665,Zambia,Fats and Oils (excluding Butter),2013,25747.17,8712.937060874303
774,Bosnia and Herzegovina,Fruit and Vegetables,2014,57884.0,31364.332462630926
2306,Ethiopia,Alcoholic Beverages,2018,2201.18,3886.494310117957
7718,Zambia,Alcoholic Beverages,2024,10446.93,38863.87941140111
5382,Norway,Dairy Products and Eggs,2019,89315.48,104930.67446593867
1655,Cyprus,Non-alcoholic Beverages,2024,8843.0,48954.89670460577
6368,Senegal,Alcoholic Beverages,2016,1066.76,2433.2992594609514
4257,Luxembourg,Alcoholic Beverages,2019,76746.42,75239.85200950745
6281,Saudi Arabia,Non-alcoholic Beverages,2013,209288.0,242155.50025658117
4787,Myanmar,Alcoholic Beverages,2022,698.53,876.0599155450957
410,Australia,Non-alcoholic Beverages,2019,2817175.0,1047381.8464768274
6403,Serbia,Meat and Meat Preparations,2014,515477.0,208373.57983197903
3625,Italy,Sugar and Honey,2014,431838.73,629100.6748230904
4891,Nepal,Alcoholic Beverages,2015,338.82,588.0658888195633
6471,Slovakia,Sugar and Honey,2014,342076.2,270147.21540402237
2904,Hungary,Fats and Oils (excluding Butter),2024,1398921.0,1773119.5529127647
1093,Canada,Other food,2017,12775446.07,12534943.370370822
1129,Chile,Meat and Meat Preparations,2018,64439.0,207454.0380878551
5173,Nicaragua,Sugar and Honey,2017,202525.23,190866.9788257939
6962,Switzerland,Other food,2013,4404670.0,3327733.4829404396
6214,Samoa,Non-alcoholic Beverages,2023,440.98,9878.97465029986
7618,Venezuela (Bolivarian Republic of),Dairy Products and Eggs,2017,17418.0,3608.505759405227
3923,Kyrgyzstan,Other food,2018,16222.72,17342.451392529354
6562,Slovenia,Fats and Oils (excluding Butter),2021,88550.66,118700.14982869153
6251,Saudi Arabia,Sugar and Honey,2015,226059.48,229875.9299578377
850,Brazil,Fruit and Vegetables,2014,237777.0,1011688.9366882101
70,Albania,Non-alcoholic Beverages,2017,494.7,485.5981802185499
6183,Samoa,Sugar and Honey,2014,58.96,23.096576555572746
2836,Guinea,Non-alcoholic Beverages,2014,260.2,1131.3433797225393
266,Argentina,Non-alcoholic Beverages,2016,29076.1,46909.82364124067
3921,Kyrgyzstan,Other food,2013,8664.72,26712.622650432175
2672,Ghana,Cereals and Preparations,2024,154454.0,51436.40658817566
3862,Kuwait,Sugar and Honey,2014,20440.0,4311.456985118906
342,Armenia,Other food,2014,25974.21,21680.465486363173
5433,Oman,Fats and Oils (excluding Butter),2013,137586.0,411460.90048670897
340,Armenia,Non-alcoholic Beverages,2023,10936.51,121753.29876073069
7320,Ukraine,Dairy Products and Eggs,2022,262290.0,174597.13992145105
177,Antigua and Barbuda,Fruit and Vegetables,2014,666.0,18.000809431978738
44,Albania,Fruit and Vegetables,2023,5164.0,18155.870528836393
5014,New Caledonia,Alcoholic Beverages,2014,684.49,579.2018314192153
5734,Peru,Dairy Products and Eggs,2018,123481.57,103265.10121933071
5273,Niger,Non-alcoholic Beverages,2022,41339.37,92442.05587841597
3174,India,Alcoholic Beverages,2018,220338.58,199530.16197774216
2058,Ecuador,Alcoholic Beverages,2013,494.53,1136.5832797886433
4908,Nepal,Non-alcoholic Beverages,2020,5.89,677.9448353243906
2825,Guinea,Fruit and Vegetables,2020,46.0,21913.77785486207
145,Algeria,Other food,2014,14285.75,33504.48608687303
2328,Fiji,Fats and Oils (excluding Butter),2014,49714.0,4875.541378248594
1907,Dominican Republic,Cereals and Preparations,2018,107338.17,119790.1906855995
746,Bolivia (Plurinational State of),Alcoholic Beverages,2015,3858.95,34849.622563478995
5206,Nicaragua,Alcoholic Beverages,2020,6505.0,18449.78997661976
7255,Türkiye,Non-alcoholic Beverages,2021,329367.81,414821.41869086016
3994,Latvia,Dairy Products and Eggs,2020,325470.32,321556.35353528534
7670,Zambia,Fats and Oils (excluding Butter),2020,13831.14,75740.37401075505
2255,Estonia,Dairy Products and Eggs,2014,11134.0,125101.29475583322
2140,Egypt,Alcoholic Beverages,2017,1300.82,13036.03193334866
5971,Republic of Korea,Non-alcoholic Beverages,2024,1316492.0,1484845.192504095
2826,Guinea,Fruit and Vegetables,2021,6.32,26.13919916536462
5110,New Zealand,Alcoholic Beverages,2020,1375196.74,1265145.0489993212
1444,Côte d'Ivoire,Alcoholic Beverages,2014,8261.55,1718.8596620439487
5290,Nigeria,Dairy Products and Eggs,2013,3342.0,20066.809776870585
566,Bangladesh,Sugar and Honey,2024,92083.0,101545.40243531342
4641,Mongolia,Dairy Products and Eggs,2014,4.0,285.6986831290017
2233,El Salvador,Non-alcoholic Beverages,2023,515166.0,275567.9468393959
265,Argentina,Non-alcoholic Beverages,2015,32881.71,54383.41208825352
2531,French Polynesia,Fruit and Vegetables,2014,6903.55,45615.58671832219
552,Bangladesh,Meat and Meat Preparations,2022,239.0,6921.197817420763
1829,Denmark,Meat and Meat Preparations,2024,385447.0,496091.3032249065
4461,Mauritius,Sugar and Honey,2024,6876.0,2710.014414950992
988,Cameroon,Alcoholic Beverages,2014,793405.0,189019.55148254085
6036,Republic of Moldova,Fruit and Vegetables,2022,3629.0,12203.735879459824
1026,Canada,Meat and Meat Preparations,2022,883980.0,634389.4737331431
1131,Chile,Sugar and Honey,2013,70526.0,404078.1521039758
1973,Dominican Republic,Dairy Products and Eggs,2024,123690.0,510002.1741032136
6315,Senegal,Fats and Oils (excluding Butter),2018,60194.19,51081.83121912401
1169,Chile,Other food,2016,452070.25,383199.799113869
5556,Pakistan,Fruit and Vegetables,2021,35237.0,296592.0987965917
3430,Iraq,Fruit and Vegetables,2019,1.0,137460.9112456615
1106,Central African Republic,Dairy Products and Eggs,2014,15985.0,1999.7531114748122
3864,Kuwait,Fruit and Vegetables,2014,0.0,24197.434229563933
3898,Kyrgyzstan,Fruit and Vegetables,2014,111198.51,231601.86212049695
5233,Niger,Cereals and Preparations,2021,3585.0,1297.679067548856
276,Argentina,Other food,2015,4945973.89,3459352.514687799
5183,Nicaragua,Fruit and Vegetables,2017,293864.76,288328.3747476749
6712,Sri Lanka,Fruit and Vegetables,2024,3610.37,157441.973670306
2378,Finland,Dairy Products and Eggs,2018,191080.0,195713.22513736977
6127,Saint Kitts and Nevis,Sugar and Honey,2014,2.0,1.8538389686014844
1122,Chile,Fats and Oils (excluding Butter),2018,965910.0,899069.5584345281
7073,Togo,Fruit and Vegetables,2022,23145.62,27212.77225940459
5342,Norway,Meat and Meat Preparations,2015,22189.26,24924.981379797053
713,Bolivia (Plurinational State of),Cereals and Preparations,2018,385248.0,168825.99024883824
920,Burundi,Meat and Meat Preparations,2017,500.0,3052.1300777426623
1600,Cyprus,Sugar and Honey,2017,323.46,882.2250678138065
3498,Ireland,Fruit and Vegetables,2013,305327.0,403001.7931960656
882,Bulgaria,Alcoholic Beverages,2014,829742.0,72848.68912663867
2464,France,Dairy Products and Eggs,2020,7148878.12,6247878.259949249
2938,Hungary,Fruit and Vegetables,2022,262307.0,418462.8124667156
3971,Latvia,Sugar and Honey,2021,27523.76,44084.78700345077
5103,New Zealand,Alcoholic Beverages,2013,1111103.0,1276249.977175442
5605,Panama,Meat and Meat Preparations,2013,49198.02,25904.00327318066
4453,Mauritius,Sugar and Honey,2016,237568.26,223225.2458329128
1063,Canada,Dairy Products and Eggs,2023,657610.0,1199014.3580820393
3480,Ireland,Meat and Meat Preparations,2019,4270020.55,4745398.516243919
2207,El Salvador,Fruit and Vegetables,2024,24377.66,31403.182184058205
1285,"China, Taiwan Province of",Non-alcoholic Beverages,2023,430133.0,433773.5136414025
5879,Republic of Korea,Cereals and Preparations,2016,602358.08,499117.1357184802
3362,Iran (Islamic Republic of),Fruit and Vegetables,2018,2994258.74,2607904.1525938823
5026,New Caledonia,Other food,2014,803.31,594.2673086840765
6754,Suriname,Meat and Meat Preparations,2014,40256.0,11450.576933314509
4795,Myanmar,Other food,2020,470143.76,260632.1224916422
6203,Samoa,Alcoholic Beverages,2019,1937.54,1726.1386209395714
4460,Mauritius,Sugar and Honey,2023,7048.0,4221.026702972406
5072,New Zealand,Sugar and Honey,2018,360598.52,351347.3419517788
2405,France,Cereals and Preparations,2021,14157922.1,14627594.018779224
487,Austria,Other food,2020,2347007.01,2548168.5401292695
6310,Senegal,Fats and Oils (excluding Butter),2013,41924.0,146611.22016431706
3036,Iceland,Sugar and Honey,2024,299.0,33692.07468478603
3565,Israel,Fats and Oils (excluding Butter),2018,39183.0,103964.45944976104
5120,New Zealand,Non-alcoholic Beverages,2018,131529.52,114670.79887042737
7153,Tunisia,Dairy Products and Eggs,2015,40614.96,41589.88949213301
6929,Switzerland,Dairy Products and Eggs,2016,697505.42,620232.0017014021
4429,Mauritius,Fats and Oils (excluding Butter),2016,2007.69,1194.9952262046902
5894,Republic of Korea,Fats and Oils (excluding Butter),2019,65810.43,60589.852215875544
2406,France,Cereals and Preparations,2022,1262588.0,5015812.265721524
5831,Philippines,Non-alcoholic Beverages,2018,145686.0,224025.05321028485
6947,Switzerland,Alcoholic Beverages,2022,1353688.0,639721.8924980446
3289,Indonesia,Non-alcoholic Beverages,2013,63427.0,36529.74723824093
6151,Saint Lucia,Fruit and Vegetables,2013,205.0,4857.1690768458475
7137,Tunisia,Sugar and Honey,2013,16826.0,200834.89605524056
5730,Peru,Dairy Products and Eggs,2014,166287.31,119312.735883435
2381,Finland,Alcoholic Beverages,2015,167064.35,14632.95613436852
2385,Finland,Non-alcoholic Beverages,2013,26680.0,26650.999334063014
7290,Ukraine,Cereals and Preparations,2022,1919094.0,3300346.0615727585
6464,Slovakia,Meat and Meat Preparations,2019,269753.51,247561.17160407454
3792,Jordan,Other food,2013,275738.43,180080.42162207604
1838,Denmark,Sugar and Honey,2021,330939.56,288529.7161242046
2257,Estonia,Alcoholic Beverages,2014,280842.0,102116.3767269797
5414,Norway,Other food,2015,201691.03,166215.30537797822
6698,Sri Lanka,Sugar and Honey,2019,2428.06,16172.742683679244
2089,Egypt,Cereals and Preparations,2020,441977.0,241691.8329560146
3218,Indonesia,Fats and Oils (excluding Butter),2014,20906068.28,25099320.73584491
6334,Senegal,Sugar and Honey,2015,3315.24,3578.8911191967904
1205,"China, Taiwan Province of",Fats and Oils (excluding Butter),2015,53897.45,73892.98959835691
5271,Niger,Non-alcoholic Beverages,2020,90944.0,8441.68744265038
116,Algeria,Fruit and Vegetables,2013,53598.0,22679.15512960763
4451,Mauritius,Sugar and Honey,2014,261780.89,14591.670335622523
744,Bolivia (Plurinational State of),Alcoholic Beverages,2013,3223.0,4040.4817954890304
5524,Pakistan,Fats and Oils (excluding Butter),2022,167401.0,14394.14681305506
2998,Iceland,Cereals and Preparations,2022,0.0,678.1883932489585
5152,Nicaragua,Fats and Oils (excluding Butter),2016,45154.08,63971.75132724412
6249,Saudi Arabia,Sugar and Honey,2013,285795.0,527795.3760305934
2717,Ghana,Fruit and Vegetables,2021,686313.45,475460.63959551806
3053,Iceland,Dairy Products and Eggs,2017,6917.63,6182.041825664439
5522,Pakistan,Fats and Oils (excluding Butter),2020,44818.93,187300.44269376138
6139,Saint Kitts and Nevis,Non-alcoholic Beverages,2022,109.46,313.63027457383794
4884,Nepal,Dairy Products and Eggs,2020,532.77,2711.6240420046515
2307,Ethiopia,Alcoholic Beverages,2019,3284.53,434.04693750063825
895,Burkina Faso,Fruit and Vegetables,2013,85.0,33209.703127309906
6627,Slovenia,Non-alcoholic Beverages,2014,63202.39,70877.12217738478
6812,Sweden,Fruit and Vegetables,2014,403328.71,453684.2152085688
1974,Dominican Republic,Alcoholic Beverages,2013,115136.0,132313.3643054825
5968,Republic of Korea,Non-alcoholic Beverages,2021,606296.51,647304.2946614979
1859,Denmark,Dairy Products and Eggs,2018,2872500.09,2749410.640044195
2181,El Salvador,Meat and Meat Preparations,2013,12191.86,18325.806484557565
3268,Indonesia,Dairy Products and Eggs,2016,36604.25,88513.75596070176
1032,Canada,Sugar and Honey,2016,1000416.16,773305.4028461361
6476,Slovakia,Sugar and Honey,2019,234572.57,166509.73695862893
4985,New Caledonia,Fats and Oils (excluding Butter),2013,15.23,176.96830586853517
727,Bolivia (Plurinational State of),Sugar and Honey,2014,23566.04,32929.64013298096
176,Antigua and Barbuda,Fruit and Vegetables,2013,87.0,24.825376825737266
2609,Georgia,Fats and Oils (excluding Butter),2021,2618.51,7054.327484864427
6587,Slovenia,Sugar and Honey,2022,260188.0,158198.08859679065
2473,France,Alcoholic Beverages,2017,15767555.42,17923909.54063795
937,Burundi,Dairy Products and Eggs,2018,2073.0,302.31864481926794
503,Azerbaijan,Dairy Products and Eggs,2014,826.0,7356.125995762709
4008,Latvia,Alcoholic Beverages,2022,22050.0,36137.28258897798
4439,Mauritius,Meat and Meat Preparations,2014,325.83,2108.060642881924
454,Austria,Fruit and Vegetables,2019,1331950.19,1385247.640387828
